cell,mdl_no,courtlistener_url,subject_id,attrs_in_dispute,reading_A,reading_B,evidence_pin_cite,evidence_quote,which_is_right,reason
1,3166,https://www.courtlistener.com/docket/72030009/,b2a_communication,court_resolution,court_resolution=FALSE,court_resolution=TRUE,¶ 8(ii),"the responsibilities and authority of lead counsel in conducting pretrial activities, facilitating resolution of the MDL proceedings, and reporting to the court and non-leadership counsel;",B,"The order gives liaison counsel ongoing duties to receive and transmit court communications. That independently fixes a communication mechanism, so court_resolution is true under R3."
2,3172,https://www.courtlistener.com/docket/72249116/,b2a_compensation,reached express party_direction,reached=TRUE; express=TRUE; party_direction=TRUE,reached=FALSE; express=FALSE; party_direction=FALSE,Letter p.2,"That proposal should address the need for liaison counsel in addition to lead counsel, the need for plaintiffs’ steering committee, the proposed fee and compensation structure, and the need for liaison counsel as to related state cases, if any.",B,"The June chambers letter is outside the source-document closure. The February 18 order does not address compensation, so reached, express, and party_direction are all false."
3,3172,https://www.courtlistener.com/docket/72249116/,b2a_structure,party_direction court_resolution,party_direction=TRUE; court_resolution=FALSE,party_direction=FALSE; court_resolution=TRUE,Letter p.2,"That proposal should address the need for liaison counsel in addition to lead counsel, the need for plaintiffs’ steering committee, the proposed fee and compensation structure, and the need for liaison counsel as to related state cases, if any.",B,"The February order establishes a liaison-counsel position for each side and defines its functions, which partially resolves leadership structure. It directs conferral only on selecting candidates, not on proposing the structure itself."
4,3172,https://www.courtlistener.com/docket/72249116/,b2a_timing,reached express party_direction court_resolution,reached=TRUE; express=TRUE; party_direction=TRUE; court_resolution=TRUE,reached=FALSE; express=FALSE; party_direction=FALSE; court_resolution=FALSE,Letter p.2,"The deadline for submitting such proposals is Wednesday, August 19, 2026, and these proposals should be submitted only by email to KGBchambers@ared.uscourts.gov.",B,"The only stated proposal deadline appears in the later June letter, which is outside the coding unit. The February order gives no appointment timing, and selection-application deadlines would not count as appointment timing under R6."
5,3172,https://www.courtlistener.com/docket/72249116/,b2b_vacate_modify,party_direction,party_direction=TRUE,party_direction=FALSE,Order ¶ 10; Letter p.2,"Any orders, including protective orders previously entered by this Court or any transferor district court, shall remain in full force and effect unless modified by this Court upon application. … a summary of the protective orders currently in place and proposals for such orders going forward.",B,"The February order continues transferor orders unless the court modifies them on application. Permission to apply is not an instruction to address or propose modification, and the later letter is excluded."
6,3172,https://www.courtlistener.com/docket/72249116/,b2d_direct_filing,party_direction,party_direction=TRUE,party_direction=FALSE,Order ¶ 1; Order ¶ 4; Order ¶ 5,This Order shall also govern the practice and procedure in any tag-along actions transferred to this Court by the MDL Panel and to any related actions subsequently filed in this Court or otherwise transferred or removed to this Court. … Any paper which is to be filed in any of these actions shall be filed only in this MDL case and not with the transferor district court.,B,"The order governs later related actions and prescribes where papers are filed, but it does not instruct the parties to address or propose how direct filing should be managed."
7,3172,https://www.courtlistener.com/docket/72249116/,b2e_related_actions,party_direction court_resolution,party_direction=TRUE; court_resolution=FALSE,party_direction=FALSE; court_resolution=TRUE,Letter p.2,"the need for liaison counsel as to related state cases, if any.",B,"The February order itself makes its procedures apply to later related actions, an operative treatment under R3. It does not direct parties to address coordination with outside-court actions; the June letter is excluded."
8,3181,https://www.courtlistener.com/docket/73502651/,b2a_communication,reached express court_resolution,reached=FALSE; express=FALSE; court_resolution=FALSE,reached=TRUE; express=TRUE; court_resolution=TRUE,,,B,The order designates counsel to arrange conferences and coordinate preparation and filing of joint reports. Those duties expressly establish a communication and reporting mechanism under R3.
9,3181,https://www.courtlistener.com/docket/73502651/,b2a_timing,reached express party_direction court_resolution,reached=TRUE; express=TRUE; party_direction=TRUE; court_resolution=TRUE,reached=FALSE; express=FALSE; party_direction=FALSE; court_resolution=FALSE,¶ 4; ¶ 4.d,"Applications for Plaintiffs' Lead/Liaison Counsel positions must be filed on or before July 24, 2026. … At the initial scheduling conference set for August 5, 2026 at 10:30 a.m., an applicant may speak for up to five minutes in support of his or her application.",B,"The filing deadline and short presentation at the conference are selection-procedure rules. The order does not say when appointments will be made, so R6 makes all timing attributes false."
10,3187,https://www.courtlistener.com/docket/73492845/,b2a_selection_procedure,court_resolution,court_resolution=TRUE,court_resolution=FALSE,¶ 6(a)(iii); ¶ 6(a)(viii),"the procedure for selecting leadership … The proposal must describe counsel's qualifications for the selection, including the factors set out in MCL 4th Section 10.224, and any case specific issues that might inform the appropriate structure.",A,The order requires leadership candidates to appear and submit proposals with specified qualifications and factors. Those binding rules independently fix part of the selection process under R3.
11,3187,https://www.courtlistener.com/docket/73492845/,b2e_related_actions,court_resolution,court_resolution=FALSE,court_resolution=TRUE,¶ 6(e),"whether related actions have been—or are expected to be—filed in other courts, and whether to adopt methods for coordinating with them",A,"This provision asks parties whether coordination methods should be adopted. Because the parties' report can shape the outcome and no method is adopted, court_resolution is false."
