mdl_no,subject_id,attrs_changed,winner,decided_by,reason,evidence_was_thin
3162,b2e_related_actions,court_resolution,A,chat only,"The report agenda asks parties whether coordination methods should be adopted. It adopts no method, so the parties can still shape the outcome and court_resolution is false.",
3163,b2d_direct_filing,court_resolution,A,chat only,Part I expressly makes current and future all-case orders govern related cases filed in or transferred to the MDL. That is an operative docket-management rule for directly filed and later-filed cases under R3.,
3163,b2e_related_actions,court_resolution,B,claude + chat,both adjudicators agree,
3166,b2a_communication,court_resolution,B,chat only,"The order gives liaison counsel ongoing duties to receive and transmit court communications. That independently fixes a communication mechanism, so court_resolution is true under R3.",
3166,b2a_timing,party_direction,B,chat only,"The order tells applicants when to file and objectors when to respond, not to address when the court will appoint. R6 treats those deadlines as selection procedure; the court's own soon-after statement is not party direction.",
3166,b2d_direct_filing,party_direction,B,chat only,"Automatic consolidation and the Panel-notice requirement are operative directions, but neither asks parties to address or propose management of direct filing. Party_direction is therefore false for this subject.",
3166,b3c_discovery,court_resolution,A,chat only,"The order asks for a proposed discovery schedule and a history of discovery already taken. It neither stays discovery nor fixes how discovery will proceed, so court_resolution is false.",
3166,b3e_settlement_facilitation,reached express party_direction,B,claude + chat,both adjudicators agree,YES
3167,b3g_principal_issues,express party_direction,B,chat only,"The blanket Rule 16.1 reference reaches the subject but is not express under R1. The added phrase about the litigation's general nature and dimensions does not name principal factual or legal issues, so express and party_direction are false.",
3170,b2e_related_actions,court_resolution,A,chat only,"This item asks parties whether coordination methods should be adopted; it does not adopt one. The related-actions question remains open, so court_resolution is false.",
3170,b3e_settlement_facilitation,reached express party_direction,B,chat only,"The report must address leadership responsibilities that include facilitating resolution. That makes settlement facilitation reached, express, and the subject of party direction.",YES
3171,b2a_responsibilities,court_resolution,B,"split, resolved","MY CALL STANDS, ON EVIDENCE CHAT DID NOT HAVE. The blind packet carried pass 1's quote, which was the agenda item at para 9(ii). I fetched the order: para 7 says the point of contact 'shall be authorized to receive orders and notices on behalf of all Plaintiffs and shall be responsible for the preparation and transmittal of copies of such orders and notices.' Chat reasoned correctly from what it was shown and was shown too little.",
3172,b2a_compensation,reached express party_direction,B,chat only,"The June chambers letter is outside the source-document closure. The February 18 order does not address compensation, so reached, express, and party_direction are all false.",
3172,b2a_structure,party_direction court_resolution,B,chat only,"The February order establishes a liaison-counsel position for each side and defines its functions, which partially resolves leadership structure. It directs conferral only on selecting candidates, not on proposing the structure itself.",
3172,b2a_timing,reached express party_direction court_resolution,B,chat only,"The only stated proposal deadline appears in the later June letter, which is outside the coding unit. The February order gives no appointment timing, and selection-application deadlines would not count as appointment timing under R6.",
3172,b2b_vacate_modify,party_direction,B,chat only,"The February order continues transferor orders unless the court modifies them on application. Permission to apply is not an instruction to address or propose modification, and the later letter is excluded.",
3172,b2d_direct_filing,party_direction,B,chat only,"The order governs later related actions and prescribes where papers are filed, but it does not instruct the parties to address or propose how direct filing should be managed.",
3172,b2e_related_actions,party_direction court_resolution,B,chat only,"The February order itself makes its procedures apply to later related actions, an operative treatment under R3. It does not direct parties to address coordination with outside-court actions; the June letter is excluded.",
3175,b2a_leadership,party_direction,B,claude + chat,both adjudicators agree,
3175,b2a_selection_procedure,express party_direction court_resolution,B,chat only,"The candidate-attendance requirement is an express selection-procedure rule. It binds leadership applicants and fixes participation in the process, so express, party_direction, and court_resolution are true under R3.",YES
3175,b2d_direct_filing,party_direction,A,claude + chat,both adjudicators agree,
3175,b2e_related_actions,express party_direction court_resolution,A,claude + chat,both adjudicators agree,YES
3178,b3g_principal_issues,reached express party_direction,B,"split, resolved",CONCEDING. I flagged this as genuinely arguable when I called it A. Two independent readings say a brief non-argumentative summary of the member cases is not the Rule's principal factual and legal issues subject. My A was the weaker position and I said so at the time.,
3179,b2a_structure,court_resolution,A,"split, resolved","CONCEDING, and chat's reason is sharper than mine. 'Confer regarding the SELECTION of lead and liaison counsel' is a selection step, not a structural determination. That is the same distinction v1.1's tightened R6 draws between selection procedure and appointment timing, applied to structure. I had it backwards.",
3179,b2c_conference_schedule,reached express,A,claude + chat,both adjudicators agree,
3180,b2e_related_actions,court_resolution,A,chat only,"The report agenda asks parties whether coordination methods should be adopted. It adopts no method, so court_resolution is false.",
3181,b2a_communication,reached express court_resolution,B,chat only,The order designates counsel to arrange conferences and coordinate preparation and filing of joint reports. Those duties expressly establish a communication and reporting mechanism under R3.,YES
3181,b2a_leadership,court_resolution,B,"split, resolved","CONCEDING on a rule I failed to apply. I treated the designation of two named attorneys as an interim leadership appointment and therefore resolution. R7 says a court-created coordinating role counts as leadership only where the order gives it a leadership title, and this order gives none, expressly insulating the designation from the leadership contest. R7 is mine and I did not apply it.",
3181,b2a_timing,reached express party_direction court_resolution,B,chat only,"The filing deadline and short presentation at the conference are selection-procedure rules. The order does not say when appointments will be made, so R6 makes all timing attributes false.",
3181,b2d_direct_filing,party_direction,A,chat only,The preliminary report must give the parties' views on expected later cases and docket management for all and individual actions. That is express party direction on managing direct and later-filed cases.,
3185,b2a_timing,reached express party_direction court_resolution,B,chat only,"The June 23 date is only an application deadline, not a date when the court will make appointments. Under R6 it belongs to selection procedure, so all timing attributes are false.",
3185,b2b_vacate_modify,party_direction,A,chat only,"The order requires status reports, and transferor-court orders are a specified report topic. Under R4, making that topic required content is party_direction even though the stay itself is a court resolution.",
3187,b2a_selection_procedure,court_resolution,A,chat only,The order requires leadership candidates to appear and submit proposals with specified qualifications and factors. Those binding rules independently fix part of the selection process under R3.,
3187,b2e_related_actions,court_resolution,A,chat only,"This provision asks parties whether coordination methods should be adopted. Because the parties' report can shape the outcome and no method is adopted, court_resolution is false.",
3187,b3g_principal_issues,court_resolution,B,chat only,"The court specifies a nonbinding, one-per-side submission about the parties' preliminary understanding. It does not decide the litigation's principal factual or legal issues, so court_resolution is false.",
