item,mdl_no,courtlistener_url,subject_id,subject_definition,reached,express,party_direction,court_resolution,note_optional
1,3162,https://www.courtlistener.com/docket/72028506/8/class-action-settlement-administration-litigation-mdl-no-3162/,b2a_leadership,(b)(2)(A) whether leadership counsel should be appointed,TRUE,TRUE,TRUE,FALSE,""
2,3162,https://www.courtlistener.com/docket/72028506/8/class-action-settlement-administration-litigation-mdl-no-3162/,b2a_timing,(b)(2)(A)(i) the timing of the appointments,TRUE,TRUE,TRUE,FALSE,""
3,3162,https://www.courtlistener.com/docket/72028506/8/class-action-settlement-administration-litigation-mdl-no-3162/,b2a_structure,(b)(2)(A)(ii) the structure of leadership counsel,TRUE,TRUE,TRUE,FALSE,""
4,3162,https://www.courtlistener.com/docket/72028506/8/class-action-settlement-administration-litigation-mdl-no-3162/,b2a_selection_procedure,(b)(2)(A)(iii) the procedure for selecting leadership,TRUE,TRUE,TRUE,FALSE,""
5,3162,https://www.courtlistener.com/docket/72028506/8/class-action-settlement-administration-litigation-mdl-no-3162/,b2a_periodic_review,(b)(2)(A)(iii) whether the appointments should be reviewed periodically,TRUE,TRUE,TRUE,FALSE,""
6,3162,https://www.courtlistener.com/docket/72028506/8/class-action-settlement-administration-litigation-mdl-no-3162/,b2a_responsibilities,(b)(2)(A)(iv) their responsibilities and authority,TRUE,TRUE,TRUE,FALSE,""
7,3162,https://www.courtlistener.com/docket/72028506/8/class-action-settlement-administration-litigation-mdl-no-3162/,b2a_communication,(b)(2)(A)(v) methods for communicating with and reporting to the court and nonleadership counsel,TRUE,TRUE,TRUE,FALSE,""
8,3162,https://www.courtlistener.com/docket/72028506/8/class-action-settlement-administration-litigation-mdl-no-3162/,b2a_nonleadership_limits,(b)(2)(A)(vi) any limits on activity by nonleadership counsel,TRUE,TRUE,TRUE,FALSE,""
9,3162,https://www.courtlistener.com/docket/72028506/8/class-action-settlement-administration-litigation-mdl-no-3162/,b2a_compensation,(b)(2)(A)(vii) whether and when to establish a means for compensating leadership counsel,TRUE,TRUE,TRUE,FALSE,""
10,3162,https://www.courtlistener.com/docket/72028506/8/class-action-settlement-administration-litigation-mdl-no-3162/,b2b_vacate_modify,(b)(2)(B) previously entered orders that should be vacated or modified,TRUE,TRUE,TRUE,TRUE,""
11,3162,https://www.courtlistener.com/docket/72028506/8/class-action-settlement-administration-litigation-mdl-no-3162/,b2c_conference_schedule,,TRUE,TRUE,TRUE,FALSE,""
