query_form,query_string,run_date,search_type,date_filter,corpus,cutoff,hits,new_documents,hits_in_post_effective_mdl,hits_in_pre_effective_mdl,hits_non_mdl,hits_noise_rule_16,hits_unverified,hits_no_text_layer,triage_source,status,notes
abbrev,"""Fed. R. Civ. P. 16.1""",2026-08-13,rd,entry_date_filed_after,RECAP document text and docket entry descriptions,2025-12-01,41,41,7,2,7,25,0,0,HUMAN,CURRENT,"Corrected run, FULLY TRIAGED 13 Aug 2026. The 25 documents the superseded run returned are a strict subset of these 41; the 16 added are documents whose CASE was filed before the cutoff. Of the 16: eleven contain no literal '16.1' at all and are Rule 16 noise, the index treating 16.1 as 16; two are the MDL 3170 pair, Case Management Order #2 of 18 Dec 2025 ('Pursuant to Fed. R. Civ. P. 16.1, the parties are directed to meet and confer and submit a report') and the report answering it, both already in the dataset and neither ever returned by the old sweep; two are copies of ECF 5979 in MDL 3084 (Uber, N.D. Cal.), a pre-effective-date MDL, recorded as INV-014; and one is a motion in Tesoro High Plains Pipeline v. United States, 1:21-cv-00090 (D.N.D.), citing 'Fed. R. Civ. P. 16.1(a)' in an ordinary 2021 civil case, recorded as INV-017."
spelled_out,"""Federal Rule of Civil Procedure 16.1""",2026-08-13,rd,entry_date_filed_after,RECAP document text and docket entry descriptions,2025-12-01,35,35,31,3,0,1,0,0,HUMAN,CURRENT,"Corrected run, FULLY TRIAGED 13 Aug 2026. Seven documents added over the superseded run. Two sit in MDLs centralized before the effective date: RECAP 472850310, Pretrial Order No. 28 in MDL 3108 (Change Healthcare, D. Minn.), which is what falsifies the published null, and RECAP 464110936, a party brief in MDL 3084 (Uber, N.D. Cal.). Two are the MDL 3174 initial management order and a later scheduling order, both on the member docket Soo-yong v. The Boeing Co., 2:25-cv-02204 (W.D. Wash.), a case filed 5 Nov 2025 and therefore invisible to the old filter even though the same order on the MDL docket was not. One, RECAP 475500749, contains no literal '16.1' and is Rule 16 noise. One, RECAP 464112237, looked like an unrelated D. Ariz. civil case and was briefly counted as non-MDL. The docket entry text resolves it: it is the same trial brief as 464110936, filed by Jaylynn Dean in member case 3:23-cv-06708-CRB of MDL 3084, appearing on both the transferee and the originating docket. Recounted as a pre-effective-date MDL hit the same day. RECAP 473684056 is a court order in Edlin v. Cal-Maine Foods, 3:25-cv-00946 (W.D. Wis.), a member case of MDL 3175 filed 14 Nov 2025: 'The next step is to hold an initial judicial management conference under Federal Rule of Civil Procedure 16.1.'"
frcp_acronym,"""FRCP 16.1""",2026-08-13,rd,entry_date_filed_after,RECAP document text and docket entry descriptions,2025-12-01,6,6,3,0,3,0,0,3,HUMAN,CURRENT,"Corrected run, FULLY TRIAGED 13 Aug 2026. Two documents added. NOT IN GUARDRAIL 10's SPECIFIED METHOD; kept because it finds documents no other form returns. The three MDL hits are THREE copies of the same filing, the plaintiffs' Rule 16.1 report in MDL 3175 (INV-010), on the master docket and two member dockets; none has a text layer, and RECAP returns 'No text is available' for all three, so the index found them by something other than their text. The three non-MDL hits all recite the same sentence, 'All parties have made their initial and supplemental disclosures pursuant to FRCP 16.1' - two in Evans v. United Natural Foods, 2:25-cv-02393 (D. Nev.), recorded as INV-011 and INV-012, and a third on docket 71935884, recorded as INV-018."
frcp_periods,"""F.R.C.P. 16.1""",2026-08-13,rd,entry_date_filed_after,RECAP document text and docket entry descriptions,2025-12-01,8,7,1,0,6,1,0,6,HUMAN,CURRENT,"Corrected run, FULLY TRIAGED 13 Aug 2026, and the form most damaged by the error: the superseded run returned ZERO and this returns eight. The published claim that no filing writes the Rule's name this way was an artifact of the date filter. Six of the eight are one bankruptcy adversary proceeding, Garcia v. Garcia, Jr., 25-01354 (Bankr. S.D. Fla.), recorded as INV-019; NONE of the six has a text layer, and every match is in the DOCKET ENTRY DESCRIPTION. RECAP 464150837, the MDL 3170 report, matched this form the same way: its document text never writes 'F.R.C.P.', but the clerk's entry reads 'STATUS Report F.R.C.P. 16.1 by Daniel Snelgrove'. RECAP 480741139, a motion to compel in Amide Beverage v. Amazon (E.D. Tex.), has neither the string in its text nor in its description and is Rule 16 noise. Disjoint from the FRCP 16.1 form, so punctuation is still not normalised by the index."
report_phrase,"""Rule 16.1 Report""",2026-08-13,rd,entry_date_filed_after,RECAP document text and docket entry descriptions,2025-12-01,13,12,12,0,0,1,0,0,HUMAN,CURRENT,"Corrected run, FULLY TRIAGED 13 Aug 2026. Two documents added. One is RECAP 464150837, the MDL 3170 report, which the phrase names exactly. The other, RECAP 466008549, is the cleanest confirmation of the local-rule collision the project has: a pro se opposition in the Southern District of Florida, 0:25-cv-62222, captioned 'OPPOSITION TO DEFENDANTS DTCC AND FINRA'S MOTION TO STAY THE REQUIREMENTS OF LOCAL RULE 16.1', containing twenty-three occurrences of '16.1' and not one reference to the federal rule. A query written to find Rule 16.1 reports returned a brief about a local rule of the same number. Counted as noise. The eleven documents carried over from the superseded run still collapse to one filing replicated across a master docket and ten member dockets in MDL 3175 (INV-004)."
abbrev_no_spaces,"""Fed.R.Civ.P. 16.1""",2026-08-13,rd,entry_date_filed_after,RECAP document text and docket entry descriptions,2025-12-01,41,0,0,0,0,0,0,0,HUMAN,CURRENT,"Returns EXACTLY the same forty-one documents as the abbrev form under the corrected filter, verified by comparing the full ID sets, as it did under the superseded one. Internal spacing is normalised by the index, so this is not a distinct query form. Recorded so that no future run wastes a call on it."
long_form,"""Rule 16.1 of the Federal Rules of Civil Procedure""",2026-08-13,rd,entry_date_filed_after,RECAP document text and docket entry descriptions,2025-12-01,0,0,0,0,0,0,0,0,HUMAN,CURRENT,Zero under the corrected filter as well. No filing in the corpus names the Rule this way. This is the only zero in the superseded run that survived correction.
abbrev,"""Fed. R. Civ. P. 16.1""",2026-08-12,rd,filed_after,RECAP document text and docket entry descriptions,2025-12-01,25,25,5,0,6,14,0,0,HUMAN,SUPERSEDED,"WRONG DATE FILTER. filed_after restricts by the CASE filing date, not the document filing date, so this run silently excluded every document in a case filed before 1 Dec 2025. Retained because the verification work on these 25 is still good and because the count is the evidence for the diagnosis: 25 is exactly the subset of the corrected 41 whose docket date_filed is on or after the cutoff."
spelled_out,"""Federal Rule of Civil Procedure 16.1""",2026-08-12,rd,filed_after,RECAP document text and docket entry descriptions,2025-12-01,28,28,28,0,0,0,0,0,HUMAN,SUPERSEDED,WRONG DATE FILTER. 28 is exactly the subset of the corrected 35 whose docket date_filed is on or after the cutoff.
frcp_acronym,"""FRCP 16.1""",2026-08-12,rd,filed_after,RECAP document text and docket entry descriptions,2025-12-01,4,4,2,0,2,0,0,0,HUMAN,SUPERSEDED,WRONG DATE FILTER. 4 is exactly the subset of the corrected 6 whose docket date_filed is on or after the cutoff.
frcp_periods,"""F.R.C.P. 16.1""",2026-08-13,rd,filed_after,RECAP document text and docket entry descriptions,2025-12-01,0,0,0,0,0,0,0,0,HUMAN,SUPERSEDED,"WRONG DATE FILTER. Zero here, eight under the corrected filter. This is the row that shows a wrong filter can manufacture a finding out of nothing: the project published a claim about how the index handles punctuation that rested entirely on this zero."
report_phrase,"""Rule 16.1 Report""",2026-08-13,rd,filed_after,RECAP document text and docket entry descriptions,2025-12-01,11,11,11,0,0,0,0,0,HUMAN,SUPERSEDED,WRONG DATE FILTER. 11 is exactly the subset of the corrected 13 whose docket date_filed is on or after the cutoff.
abbrev_no_spaces,"""Fed.R.Civ.P. 16.1""",2026-08-13,rd,filed_after,RECAP document text and docket entry descriptions,2025-12-01,25,0,0,0,0,0,0,0,HUMAN,SUPERSEDED,WRONG DATE FILTER. Identical to the abbrev form under both filters.
long_form,"""Rule 16.1 of the Federal Rules of Civil Procedure""",2026-08-13,rd,filed_after,RECAP document text and docket entry descriptions,2025-12-01,0,0,0,0,0,0,0,0,HUMAN,SUPERSEDED,WRONG DATE FILTER. Zero under both filters.
bare_rule,"""Rule 16.1""",2026-08-13,r,entry_date_filed_after,RECAP dockets and document text,2025-12-01,2164,0,0,0,0,0,2164,0,HUMAN,REFERENCE,"Not a naming form in the sweep and not counted in any published figure. Run once to measure the noise floor. 2,164 dockets, dominated by District of Massachusetts, Southern District of Florida and Western District of Pennsylvania filings referring to those districts' own local rules numbered 16.1. Recorded for two reasons: it shows why the sweep uses full naming forms rather than the bare rule number, and it is the control that the earlier local-rule collision test got wrong. That test ran under the superseded date filter, reported zero instances in D. Mass. and S.D. Fla., and concluded the collision hypothesis failed. Under the correct filter those districts generate local-rule 16.1 references in the thousands."
positive_control,"""Federal Rule of Civil Procedure 16.1""",2026-08-13,rd,entry_date_filed_after,RECAP document text and docket entry descriptions,2025-12-01,35,0,0,0,0,0,0,0,HUMAN,CONTROL,"GUARDRAIL 11 POSITIVE CONTROL, PASSED 13 Aug 2026. The requirement is that any null this project publishes be accompanied by a run of the same method returning a KNOWN instance of the thing the null says is absent. The instance is RECAP 472850310, Pretrial Order No. 28 in MDL 3108 (Change Healthcare, D. Minn.), a court in an MDL centralized June 2024 invoking Rule 16.1. Run the spelled_out form under entry_date_filed_after=2025-12-01 and it is returned; run it under filed_after=2025-12-01 and it is not. The control therefore discriminates between the broken method and the corrected one, which is what makes it a control rather than a reassurance. Counted in no published figure: this row is a test of the instrument, not a measurement of the corpus. Any future run of the sweep that does not return 472850310 means the sweep is broken, not that the record changed."
