item,mdl_no,order_id,source_document,courtlistener_url,subject_id,subject_definition,reached,express,party_direction,court_resolution,pin_cite,quote,coding_note
1,FILL_ME,FILL_ME,FILL_ME,FILL_ME,b2a_leadership,(b)(2)(A) whether leadership counsel should be appointed,,,,,,,
2,FILL_ME,FILL_ME,FILL_ME,FILL_ME,b2a_timing,(b)(2)(A)(i) the timing of the appointments,,,,,,,
3,FILL_ME,FILL_ME,FILL_ME,FILL_ME,b2a_structure,(b)(2)(A)(ii) the structure of leadership counsel,,,,,,,
4,FILL_ME,FILL_ME,FILL_ME,FILL_ME,b2a_selection_procedure,(b)(2)(A)(iii) the procedure for selecting leadership,,,,,,,
5,FILL_ME,FILL_ME,FILL_ME,FILL_ME,b2a_periodic_review,(b)(2)(A)(iii) whether the appointments should be reviewed periodically,,,,,,,
6,FILL_ME,FILL_ME,FILL_ME,FILL_ME,b2a_responsibilities,(b)(2)(A)(iv) their responsibilities and authority,,,,,,,
7,FILL_ME,FILL_ME,FILL_ME,FILL_ME,b2a_communication,(b)(2)(A)(v) methods for communicating with and reporting to the court and nonleadership counsel,,,,,,,
8,FILL_ME,FILL_ME,FILL_ME,FILL_ME,b2a_nonleadership_limits,(b)(2)(A)(vi) any limits on activity by nonleadership counsel,,,,,,,
9,FILL_ME,FILL_ME,FILL_ME,FILL_ME,b2a_compensation,(b)(2)(A)(vii) whether and when to establish a means for compensating leadership counsel,,,,,,,
10,FILL_ME,FILL_ME,FILL_ME,FILL_ME,b2b_vacate_modify,(b)(2)(B) previously entered orders that should be vacated or modified,,,,,,,
11,FILL_ME,FILL_ME,FILL_ME,FILL_ME,b2c_conference_schedule,(b)(2)(C) a schedule for additional management conferences,,,,,,,
12,FILL_ME,FILL_ME,FILL_ME,FILL_ME,b2d_direct_filing,(b)(2)(D) how to manage the direct filing of new actions,,,,,,,
13,FILL_ME,FILL_ME,FILL_ME,FILL_ME,b2e_related_actions,(b)(2)(E) related actions elsewhere and methods for coordinating,,,,,,,
14,FILL_ME,FILL_ME,FILL_ME,FILL_ME,b3a_consolidated_pleadings,(b)(3)(A) whether consolidated pleadings should be prepared,,,,,,,
15,FILL_ME,FILL_ME,FILL_ME,FILL_ME,b3b_factual_basis_exchange,(b)(3)(B) how and when the parties will exchange information about the factual bases,,,,,,,
16,FILL_ME,FILL_ME,FILL_ME,FILL_ME,b3c_discovery,"(b)(3)(C) discovery, including any difficult issues",,,,,,,
17,FILL_ME,FILL_ME,FILL_ME,FILL_ME,b3d_pretrial_motions,(b)(3)(D) likely pretrial motions,,,,,,,
18,FILL_ME,FILL_ME,FILL_ME,FILL_ME,b3e_settlement_facilitation,(b)(3)(E) measures to facilitate resolving some or all actions,,,,,,,
19,FILL_ME,FILL_ME,FILL_ME,FILL_ME,b3f_magistrate_master,(b)(3)(F) referral to a magistrate judge or a master,,,,,,,
20,FILL_ME,FILL_ME,FILL_ME,FILL_ME,b3g_principal_issues,(b)(3)(G) the principal factual and legal issues likely to be presented,,,,,,,
