mdl_no,subject_id,attrs_changed,predicted,rules_in_pass1_note,v10_reached,v11_reached,v10_express,v11_express,v10_party_direction,v11_party_direction,v10_court_resolution,v11_court_resolution,v10_pin,v10_quote,v10_note,v11_note,claude_call,claude_reason,resolution
3166,b2a_communication,court_resolution,YES,R3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,¶ 8(ii),"the responsibilities and authority of lead counsel in conducting pretrial activities, facilitating resolution of the MDL proceedings, and reporting to the court and non-leadership counsel;","Express, and the phrase 'reporting to the court and non-leadership counsel' tracks Rule 16.1(b)(2)(A)(v) almost word for word in an order that never cites the Rule. No resolution under pass 1 application rule R3: a provision fires court_resolution only where its operative language is about the coded subject rather than merely an instance of it. ¶ 6's notice-transmittal duty is an instance of communication but the provision is about the liaison role's authority; ¶ 14 requires substantive communication with the Court to be written and e-filed but binds all counsel rather than establishing a leadership reporting method.",R3: liaison duties independently prescribe transmission of court orders and notices.,,,
3172,b2a_compensation,reached express party_direction,YES,-,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Letter p.2,"That proposal should address the need for liaison counsel in addition to lead counsel, the need for plaintiffs’ steering committee, the proposed fee and compensation structure, and the need for liaison counsel as to related state cases, if any.",'The proposed fee and compensation structure' is a direct (b)(2)(A)(vii) treatment in a document that never cites the Rule. Nothing is established; the court invites proposals.,Closure test/R5: later June 22 chambers letter excluded; anchor ECF 5 only.,,,
3172,b2a_structure,party_direction court_resolution,YES,-,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,Letter p.2,"That proposal should address the need for liaison counsel in addition to lead counsel, the need for plaintiffs’ steering committee, the proposed fee and compensation structure, and the need for liaison counsel as to related state cases, if any.","Three tiers named for proposal: liaison, lead, and a plaintiffs' steering committee, with a parallel defense proposal. Five-page limit each. Nothing is fixed.",Closure test/R5: later June 22 chambers letter excluded; anchor ECF 5 only.,,,
3172,b2a_timing,reached express party_direction court_resolution,YES,R6,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,Letter p.2,"The deadline for submitting such proposals is Wednesday, August 19, 2026, and these proposals should be submitted only by email to KGBchambers@ared.uscourts.gov.","Express under application rule R6: proposals by August 19, hearing August 26, and the court will 'consider all such proposals to make these determinations,' which puts the appointment process on a fixed calendar. The February order alone would have coded FALSE, since it set no dates at all.",Closure test/R5: later June 22 chambers letter excluded; anchor ECF 5 only. R6: candidate-selection timing is not appointment timing.,,,
3172,b2b_vacate_modify,party_direction,YES,-,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,Order ¶ 10; Letter p.2,"Any orders, including protective orders previously entered by this Court or any transferor district court, shall remain in full force and effect unless modified by this Court upon application. … a summary of the protective orders currently in place and proposals for such orders going forward.","Resolution by continuation, with two features the other continuation clauses lack: it reaches orders previously entered by THIS court as well as by transferor courts, and it names the route to change, 'upon application.' The letter supplies the direction by asking each side to inventory the protective orders in place and propose what should follow.",Closure test/R5: later June 22 chambers letter excluded; anchor ECF 5 only.,,,
3172,b2d_direct_filing,party_direction,YES,-,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,Order ¶ 1; Order ¶ 4; Order ¶ 5,This Order shall also govern the practice and procedure in any tag-along actions transferred to this Court by the MDL Panel and to any related actions subsequently filed in this Court or otherwise transferred or removed to this Court. … Any paper which is to be filed in any of these actions shall be filed only in this MDL case and not with the transferor district court.,"Operative rather than agenda treatment. ¶ 1 fixes automatic governance of later-filed related actions; ¶¶ 4 and 5 fix where papers are filed, including the unusual instruction that case-specific documents go ONLY in the individual case and not in the master docket, which is the opposite of the N.D. Cal. and D.D.C. practice.",Closure test/R5: later June 22 chambers letter excluded; anchor ECF 5 only.,,,
3172,b2e_related_actions,party_direction court_resolution,YES,-,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,Letter p.2,"the need for liaison counsel as to related state cases, if any.","A coordination method proposed as a topic: a dedicated liaison counsel for related state cases. Only MDL 3171 goes further on (b)(2)(E). Nothing is fixed. The order's tag-along language at ¶ 1 is about which actions this order governs once transferred, not about whether related actions exist elsewhere, and is coded at b2d_direct_filing.",Closure test/R5: later June 22 chambers letter excluded; anchor ECF 5 only.,,,
3181,b2a_communication,reached express court_resolution,YES,R3,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,,"Not raised. Adjacent language considered and rejected under application rule R3: ¶ 4.a describes Lead Counsel formulating positions 'in consultation with other counsel' and 'presenting written and oral arguments and suggestions to the court,' but that paragraph is about the role's functions, not about establishing methods for regularly communicating with and reporting to the court and nonleadership counsel. ¶ 1.a's 'frequency of regular status conferences' is coded at b2c_conference_schedule.",R3: prescribed Lead Counsel duties include presenting positions to the court and coordinating others.,,,
3181,b2a_timing,reached express party_direction court_resolution,YES,R6,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,¶ 4; ¶ 4.d,"Applications for Plaintiffs' Lead/Liaison Counsel positions must be filed on or before July 24, 2026. … At the initial scheduling conference set for August 5, 2026 at 10:30 a.m., an applicant may speak for up to five minutes in support of his or her application.","Express under application rule R6: the appointment process runs on a fixed calendar, applications by July 24 and argument on August 5. No appointment date is stated.",R6: application deadlines do not state when the court will make appointments.,,,
3187,b2a_selection_procedure,court_resolution,YES,R3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,¶ 6(a)(iii); ¶ 6(a)(viii),"the procedure for selecting leadership … The proposal must describe counsel's qualifications for the selection, including the factors set out in MCL 4th Section 10.224, and any case specific issues that might inform the appropriate structure.","RESOLVED. ¶ 6(a)(viii) does not ask for views on the selection procedure, it imposes one: appear at the conference, submit a written proposal by a fixed date, and address the MCL 4th § 10.224 factors. Operative language about the subject under R3.",Closure test/R5: same-day nunc pro tunc ECF 10 included with anchor ECF 9.,,,
