pass,item,mdl_no,subject_id,attribute,coder,pass1,pass1_pin_cite,pass1_quote,pass1_coding_note,coder_note,resolution
reliability-sol,3,3172,b2a_timing,reached,FALSE,TRUE,Letter p.2,"The deadline for submitting such proposals is Wednesday, August 19, 2026, and these proposals should be submitted only by email to KGBchambers@ared.uscourts.gov.","Express under application rule R6: proposals by August 19, hearing August 26, and the court will 'consider all such proposals to make these determinations,' which puts the appointment process on a fixed calendar. The February order alone would have coded FALSE, since it set no dates at all.",,
reliability-sol,22,3172,b3f_magistrate_master,reached,TRUE,FALSE,,,"Not raised. Adjacent language considered and rejected under application rule R3: the letter closes 'United States Magistrate Judge Patricia S. Harris may join our call and is assigned to this litigation with me.' That states who is assigned, not whether matters should be referred, and no referral is made.",,
reliability-sol,37,3163,b3b_factual_basis_exchange,reached,FALSE,TRUE,Part IV.B.1; Part IV.B.9,"Initial census: The Court is interested in generating an initial census in this litigation in helping to manage the case from the outset. To that end, this topic will include consideration for the content and timing of the initial census in this litigation. … Desirability, timing, and requirements for Plaintiff Fact Sheets","IDENTIFIED, and the richest mechanism vocabulary in the set. Two named devices for exchanging factual-basis information, a census and plaintiff fact sheets, neither of which appears in Rule 16.1. This is the order behind the census gradient recorded at the order level: MDL 3162 asks only 'whether an initial census or some similar process would be beneficial,' while here the Court states its own interest in generating one. Still an anticipated topic, so no direction and no resolution.",,
reliability-sol,3,3172,b2a_timing,express,FALSE,TRUE,Letter p.2,"The deadline for submitting such proposals is Wednesday, August 19, 2026, and these proposals should be submitted only by email to KGBchambers@ared.uscourts.gov.","Express under application rule R6: proposals by August 19, hearing August 26, and the court will 'consider all such proposals to make these determinations,' which puts the appointment process on a fixed calendar. The February order alone would have coded FALSE, since it set no dates at all.",,
reliability-sol,22,3172,b3f_magistrate_master,express,TRUE,FALSE,,,"Not raised. Adjacent language considered and rejected under application rule R3: the letter closes 'United States Magistrate Judge Patricia S. Harris may join our call and is assigned to this litigation with me.' That states who is assigned, not whether matters should be referred, and no referral is made.",,
reliability-sol,37,3163,b3b_factual_basis_exchange,express,FALSE,TRUE,Part IV.B.1; Part IV.B.9,"Initial census: The Court is interested in generating an initial census in this litigation in helping to manage the case from the outset. To that end, this topic will include consideration for the content and timing of the initial census in this litigation. … Desirability, timing, and requirements for Plaintiff Fact Sheets","IDENTIFIED, and the richest mechanism vocabulary in the set. Two named devices for exchanging factual-basis information, a census and plaintiff fact sheets, neither of which appears in Rule 16.1. This is the order behind the census gradient recorded at the order level: MDL 3162 asks only 'whether an initial census or some similar process would be beneficial,' while here the Court states its own interest in generating one. Still an anticipated topic, so no direction and no resolution.",,
reliability-sol,3,3172,b2a_timing,party_direction,FALSE,TRUE,Letter p.2,"The deadline for submitting such proposals is Wednesday, August 19, 2026, and these proposals should be submitted only by email to KGBchambers@ared.uscourts.gov.","Express under application rule R6: proposals by August 19, hearing August 26, and the court will 'consider all such proposals to make these determinations,' which puts the appointment process on a fixed calendar. The February order alone would have coded FALSE, since it set no dates at all.",,
reliability-sol,27,3175,b2a_leadership,party_direction,TRUE,FALSE,p.2 para 3 (express); p.1 para 2 (blanket clause),Any lawyer who seeks a leadership position in the case and other lawyers who wish to speak during the hearing should be present in the courtroom.,"IDENTIFIED, and one of only two subjects this order names in its own words. The sentence tells a reader that leadership positions will be contested and that aspirants must appear, so the subject is in play without consulting the Rule. party_direction is coded FALSE under the codebook instruction to undercount when unsure: the only leadership-specific instruction concerns courtroom attendance rather than what the parties must address, and the report direction reaches this subject only through the blanket clause. A rebuilder who reads the attendance requirement as an instruction bearing on the leadership contest would code it TRUE.",The report incorporates every Rule 16.1 matter; a separate sentence expressly refers to lawyers seeking leadership positions.,
reliability-sol,41,3181,b2d_direct_filing,party_direction,FALSE,TRUE,¶ 5.b.iii; ¶ 6.b.ii; ¶ 6.f,"Later Filed Cases. This Order shall also apply to related cases later filed in, removed to, or transferred to this Court. … A statement of counsel's view(s) on best practices for docket management in light of the estimated total number of cases (i.e., whether documents affecting all actions be filed only on the MDL docket, or also on the dockets of the individual actions).","Both attributes. ¶ 6.f fixes automatic application of this order to later-filed cases and ¶ 6.b.ii fixes the master-file filing rule, neither of which the report can change. What remains open, and is directed, is the docket-management practice for filings across member cases.","The later-filed-cases clause applies the order to related actions filed in the transferee court, but it does not create a fuller direct-filing protocol.",
reliability-sol,3,3172,b2a_timing,court_resolution,FALSE,TRUE,Letter p.2,"The deadline for submitting such proposals is Wednesday, August 19, 2026, and these proposals should be submitted only by email to KGBchambers@ared.uscourts.gov.","Express under application rule R6: proposals by August 19, hearing August 26, and the court will 'consider all such proposals to make these determinations,' which puts the appointment process on a fixed calendar. The February order alone would have coded FALSE, since it set no dates at all.",,
reliability-sol,22,3172,b3f_magistrate_master,court_resolution,TRUE,FALSE,,,"Not raised. Adjacent language considered and rejected under application rule R3: the letter closes 'United States Magistrate Judge Patricia S. Harris may join our call and is assigned to this litigation with me.' That states who is assigned, not whether matters should be referred, and no referral is made.",,
reliability-sol,35,3180,b3b_factual_basis_exchange,court_resolution,FALSE,TRUE,¶ 5(g); ¶ 12,"how and when the parties will exchange information about the factual bases for their claims and defenses, including whether the parties should stipulate to dispense with the initial disclosures required by Rule 26(a)(1) of the Federal Rules of Civil Procedure … All discovery proceedings in these actions are stayed until further order of the Court, and the time requirements to perform any acts or file any papers pursuant to Rules 26 through 37 of the Federal Rules of Civil Procedure are tolled until such time as a discovery schedule is established by order of the Court.","Partial resolution under application rule R1: ¶ 5(g) expressly ties this subject to Rule 26(a)(1) and ¶ 12 tolls the timing of Rules 26 through 37, so the report alone cannot restart the clock. Identical structure to MDL 3162.",,
reliability-sol,47,3166,b2a_communication,court_resolution,TRUE,FALSE,¶ 8(ii),"the responsibilities and authority of lead counsel in conducting pretrial activities, facilitating resolution of the MDL proceedings, and reporting to the court and non-leadership counsel;","Express, and the phrase 'reporting to the court and non-leadership counsel' tracks Rule 16.1(b)(2)(A)(v) almost word for word in an order that never cites the Rule. No resolution under pass 1 application rule R3: a provision fires court_resolution only where its operative language is about the coded subject rather than merely an instance of it. ¶ 6's notice-transmittal duty is an instance of communication but the provision is about the liaison role's authority; ¶ 14 requires substantive communication with the Court to be written and e-filed but binds all counsel rather than establishing a leadership reporting method.",The order both asks for reporting methods and fixes interim liaison counsel's notice-transmission role.,
