mdl_no,order_id,subject_id,reached,express,party_direction,court_resolution,pin_cite,quote,coding_note,coder,date_coded,pass
3162,3162-order1,b2a_leadership,TRUE,TRUE,TRUE,FALSE,¶ 5(a),"whether leadership counsel (for plaintiffs or defendants) should be appointed and, if so:","Report agenda item. Bates broadens the Rule's chapeau by specifying 'for plaintiffs or defendants'; Rule 16.1(b)(2)(A) says only 'leadership counsel.' No appointment is made and the court does not determine whether to appoint. ¶ 9 concerns Rule 23 class certification and class counsel, which is a different appointment power, so it is not coded as resolution of this subject.",ZL,2026-08-12,1
3162,3162-order1,b2a_timing,TRUE,TRUE,TRUE,FALSE,¶ 5(a)(i),the timing of the appointments;,Verbatim reproduction of Rule 16.1(b)(2)(A)(i).,ZL,2026-08-12,1
3162,3162-order1,b2a_structure,TRUE,TRUE,TRUE,FALSE,¶ 5(a)(ii),the structure of leadership counsel;,Verbatim reproduction of Rule 16.1(b)(2)(A)(ii).,ZL,2026-08-12,1
3162,3162-order1,b2a_selection_procedure,TRUE,TRUE,TRUE,FALSE,¶ 5(a)(iii),the procedure for selecting leadership and whether the appointments should be reviewed periodically;,"Rule clause (b)(2)(A)(iii) reproduced whole. This project splits that clause into selection and periodic review; both are coded from the same sentence. No selection criteria, application format, or deadline is prescribed, so nothing is fixed.",ZL,2026-08-12,1
3162,3162-order1,b2a_periodic_review,TRUE,TRUE,TRUE,FALSE,¶ 5(a)(iii),the procedure for selecting leadership and whether the appointments should be reviewed periodically;,"Second half of the (b)(2)(A)(iii) clause, reproduced verbatim. Coded from the same sentence as b2a_selection_procedure.",ZL,2026-08-12,1
3162,3162-order1,b2a_responsibilities,TRUE,TRUE,TRUE,FALSE,¶ 5(a)(iv),their responsibilities and authority in conducting pretrial activities and any role in facilitating resolution of the MDL proceedings;,Verbatim reproduction of Rule 16.1(b)(2)(A)(iv).,ZL,2026-08-12,1
3162,3162-order1,b2a_communication,TRUE,TRUE,TRUE,FALSE,¶ 5(a)(v),the proposed methods for regularly communicating with and reporting to the court and nonleadership counsel;,Verbatim reproduction of Rule 16.1(b)(2)(A)(v).,ZL,2026-08-12,1
3162,3162-order1,b2a_nonleadership_limits,TRUE,TRUE,TRUE,FALSE,¶ 5(a)(vi),any limits on activity by nonleadership counsel; and,Verbatim reproduction of Rule 16.1(b)(2)(A)(vi).,ZL,2026-08-12,1
3162,3162-order1,b2a_compensation,TRUE,TRUE,TRUE,FALSE,¶ 5(a)(vii),whether and when to establish a means for compensating plaintiffs’ leadership counsel;,Narrower than the Rule. Rule 16.1(b)(2)(A)(vii) says 'leadership counsel'; Bates limits the compensation item to plaintiffs' leadership counsel while broadening the chapeau at ¶ 5(a) to both sides. The order therefore departs from the Rule text in opposite directions within a single subsection.,ZL,2026-08-12,1
3162,3162-order1,b2b_vacate_modify,TRUE,TRUE,TRUE,TRUE,¶ 5(b); ¶ 13,"any previously entered scheduling or other orders that should be vacated or modified; … Unless modified by this Court, any orders, including protective orders, previously entered by any transferor district court shall remain in full force and effect.","Both attributes fire, from different paragraphs. The first quoted passage is the report direction (¶ 5(b)); the second is the operative determination (¶ 13). Resolution by continuation, matching codebook test case 3: transferor-court orders stay in force unless modified by the Court, so the report alone cannot displace them. ¶ 14 administratively terminates motions pending on member dockets, which concerns motions rather than orders and is not the basis for this coding.",ZL,2026-08-12,1
3162,3162-order1,b2c_conference_schedule,TRUE,TRUE,TRUE,FALSE,¶ 5(c),a schedule for additional management conferences with the court;,"¶ 2 sets the Initial Management Conference for March 27, 2026, but that is the Rule 16.1(a) conference, not the 'additional' conferences (b)(2)(C) addresses. ¶ 6 sets an April 24, 2026 deadline for a proposed initial management order, which is a filing deadline rather than a conference. No additional conference is scheduled, so no resolution.",ZL,2026-08-12,1
3162,3162-order1,b2d_direct_filing,TRUE,TRUE,TRUE,TRUE,¶ 5(d); ¶ 1; ¶ 18,"any views on managing the direct filing of new actions in the MDL proceedings, in light of Section 1 supra; … Any “tag-along actions” filed in, removed to, or transferred to this Court shall be automatically consolidated with this action without the necessity of future motions or orders.","Both attributes fire. ¶ 1 fixes the operative rule for newly filed, removed, and transferred actions, and ¶ 5(d) expressly subordinates the parties' views to it ('in light of Section 1 supra'). Objection runs by motion within ten days or at the Initial Management Conference, not through the report. ¶ 18 adds a defendant notice duty for cases filed in this district. What remains open is the parties' proposal for managing direct filing going forward.",ZL,2026-08-12,1
3162,3162-order1,b2e_related_actions,TRUE,TRUE,TRUE,FALSE,¶ 5(e),"whether related actions have been—or are expected to be—filed in other courts, and whether to adopt methods for coordinating with them;","No coordination mechanism with any other court is established. ¶¶ 1 and 18 concern actions filed in, removed to, or transferred to this Court and are coded at b2d_direct_filing.",ZL,2026-08-12,1
3162,3162-order1,b3a_consolidated_pleadings,TRUE,TRUE,TRUE,FALSE,¶ 5(f),whether consolidated pleadings should be prepared;,"¶ 11 stays defendants' obligation to answer or otherwise respond pending the Initial Management Conference. That fixes responsive-pleading timing but does not determine whether consolidated pleadings will be prepared, which is the subject here, so no resolution is coded.",ZL,2026-08-12,1
3162,3162-order1,b3b_factual_basis_exchange,TRUE,TRUE,TRUE,TRUE,¶ 5(g); ¶ 12,"how and when the parties will exchange information about the factual bases for their claims and defenses, including whether the parties should stipulate to dispense with the initial disclosures required by Rule 26(a)(1) of the Federal Rules of Civil Procedure … the time requirements to perform any acts or file any papers pursuant to Rules 26 through 37 of the Federal Rules of Civil Procedure are tolled until such time as a discovery schedule is established by order of the Court.","Partial resolution. ¶ 5(g) expressly ties this subject to Rule 26(a)(1), and ¶ 12 tolls the timing of Rules 26 through 37, so initial disclosures cannot come due until the Court sets a discovery schedule; the report alone cannot restart that clock. How the parties will exchange factual-basis information, and whether to stipulate out of initial disclosures, remain open. APPLICATION RULE used throughout pass 1: a general discovery stay is coded as resolution of a subject other than b3c_discovery only where the order's own text ties that subject to the stayed machinery, as ¶ 5(g) does here.",ZL,2026-08-12,1
3162,3162-order1,b3c_discovery,TRUE,TRUE,TRUE,TRUE,¶ 5(h)(i)-(iv); ¶ 12,"discovery procedures and timing, including: i. whether discovery should be managed in phases, and if so, a specific proposal for such management; … iv. any difficult discovery-related issues that may arise. … All discovery proceedings in these actions are stayed until further order of the Court, and the time requirements to perform any acts or file any papers pursuant to Rules 26 through 37 of the Federal Rules of Civil Procedure are tolled until such time as a discovery schedule is established by order of the Court.","Both attributes, from different paragraphs, matching codebook test case 2. ¶ 5(h) expands the Rule's single clause into four sub-items and retains the Rule's 'difficult' discovery-issues language at (iv). ¶ 12 fixes that no discovery proceeds until further order, which the report alone cannot change.",ZL,2026-08-12,1
3162,3162-order1,b3d_pretrial_motions,TRUE,TRUE,TRUE,TRUE,¶ 5(i); ¶ 9; ¶ 11,"any likely pretrial motions; and, if so, dates for filing such motions and/or cross-motions, oppositions, and replies; … The requirements of Local Civil Rule 23.1(b) are waived. Any motion(s) for class certification or appointment of class counsel shall be filed pursuant to further order of the Court. … Defendants’ obligations to answer or otherwise respond to the initial complaints filed in these actions shall remain stayed pending the Initial Management Conference and further order of the Court.","Partial resolution under pass 1 application rule R2: a provision fixing when a pretrial motion, including a Rule 12 response to a complaint, may be filed, must be renoticed, or is due is an operative determination within this subject. Two such provisions here. ¶ 9 waives the D.D.C. Local Civil Rule 23.1(b) ninety-day class certification deadline and conditions any class certification or class counsel motion on further order of the Court. ¶ 11 stays the time to 'answer or otherwise respond,' which covers Rule 12 motions. Neither is alterable through the report. The general briefing schedule contemplated by ¶ 5(i) remains open. ¶ 10 (no hearings absent order) and ¶ 14 (administrative termination of motions pending on member dockets) govern motion mechanics and already-filed motions and are not the basis for this coding.",ZL,2026-08-12,1
3162,3162-order1,b3e_settlement_facilitation,TRUE,TRUE,TRUE,FALSE,¶ 5(j),whether the court should consider any measures to facilitate resolving some or all actions before the court;,"Verbatim reproduction of Rule 16.1(b)(3)(E). No settlement mechanism, mediator, or referral is established. ¶ 5(a)(iv) also refers to a leadership role in facilitating resolution; that language is coded at b2a_responsibilities.",ZL,2026-08-12,1
3162,3162-order1,b3f_magistrate_master,TRUE,TRUE,TRUE,FALSE,¶ 5(k),whether any matters should be referred to a magistrate judge or a master;,Verbatim reproduction of Rule 16.1(b)(3)(F). No referral is made.,ZL,2026-08-12,1
3162,3162-order1,b3g_principal_issues,TRUE,TRUE,TRUE,FALSE,¶ 5(l),the principal factual and legal issues likely to be presented;,Verbatim reproduction of Rule 16.1(b)(3)(G).,ZL,2026-08-12,1
3163,3163-order1,b2a_leadership,TRUE,TRUE,FALSE,FALSE,Part IV.B.3,Organization of counsel: This topic includes discussion of the process for selecting plaintiffs’ lead counsel; the responsibilities of lead counsel; the establishment of a plaintiffs’ steering committee; the allocation of tasks and responsibilities for non-lead counsel; and the selection of liaison counsel.,"IDENTIFIED. A single agenda topic that names five distinct leadership subjects, but stated as something the Court anticipates discussing rather than something the parties must address. Compare MDL 3166 and 3171, where the same subject carries an application process, deadlines, and a commitment to appoint.",ZL,2026-08-12,1
3163,3163-order1,b2a_timing,FALSE,FALSE,FALSE,FALSE,,,"Not raised. Part IV.B.3's reference to 'when it comes to appointing lead and liaison counsel' concerns the effect of the related MDL 3094 and state court litigation on the choice of counsel, not the timing of the appointments. Part IV.B.4's 'when the Court should establish a common benefit fund' is compensation timing and is coded at b2a_compensation.",ZL,2026-08-12,1
3163,3163-order1,b2a_structure,TRUE,TRUE,FALSE,FALSE,Part IV.B.3,the establishment of a plaintiffs’ steering committee; … and the selection of liaison counsel.,IDENTIFIED. Both a committee and a liaison role are named as structural options for discussion. Nothing is fixed.,ZL,2026-08-12,1
3163,3163-order1,b2a_selection_procedure,TRUE,TRUE,FALSE,FALSE,Part IV.B.3,This topic includes discussion of the process for selecting plaintiffs’ lead counsel;,"IDENTIFIED. The order names the selection process as a topic but prescribes no criteria, format, or deadline, which is the sharpest available contrast with codebook test case 1 (Staton, MDL 3181) and with MDL 3166 and 3171, where the entire application procedure is fixed in the order itself.",ZL,2026-08-12,1
3163,3163-order1,b2a_periodic_review,FALSE,FALSE,FALSE,FALSE,,,"Not raised. Part IV.B.5 concerns periodic status conferences, not periodic review of leadership appointments.",ZL,2026-08-12,1
3163,3163-order1,b2a_responsibilities,TRUE,TRUE,FALSE,FALSE,Part IV.B.3,the responsibilities of lead counsel;,IDENTIFIED. 'Responsibilities' without the Rule's paired 'and authority.',ZL,2026-08-12,1
3163,3163-order1,b2a_communication,FALSE,FALSE,FALSE,FALSE,,,"Not raised. Two adjacent provisions considered and rejected under application rule R3, which requires the provision's operative language to be about the coded subject rather than merely an instance of it. Part IV.B.5's contemplated weekly telephone and monthly in-person conferences are a conference cadence binding all counsel, not a method by which leadership reports to the court and to nonleadership counsel; it is coded at b2c_conference_schedule. Part IV.B.3's 'allocation of tasks and responsibilities for non-lead counsel' is coded at b2a_nonleadership_limits.",ZL,2026-08-12,1
3163,3163-order1,b2a_nonleadership_limits,TRUE,TRUE,FALSE,FALSE,Part IV.B.3,the allocation of tasks and responsibilities for non-lead counsel;,"IDENTIFIED, and a notable inversion of the Rule. Rule 16.1(b)(2)(A)(vi) contemplates 'any limits on activity by nonleadership counsel,' a restriction. Marston frames the same relationship as allocation, a distribution of work to non-lead counsel. Same parties, opposite default.",ZL,2026-08-12,1
