invocation_id,mdl_no,subject_id,subject_definition,readable,answered,responsive_to_order,beyond_order,pin_cite,quote,coding_note,coder,date_coded,pass
INV-001,3162,b2a_leadership,(b)(2)(A) whether leadership counsel should be appointed,YES,TRUE,TRUE,FALSE,§ A (Plaintiffs' Position; Defendants' Position),Defendants agree that the Court should appoint leadership on behalf of all MDL Plaintiffs and defer to the Court on the details of that leadership structure. ... A leadership structure for MDL Defendants is not necessary.,"Answered from both sides, which is what makes this the counter-example to MDL 3170. Plaintiffs propose Lead Counsel plus an Executive Committee; Defendants agree plaintiff leadership should be appointed, defer on its shape, and decline leadership on their own side. Compare INV-002, where the same subject is answered by one firm arguing for its own appointment. Here nobody nominates anybody: selection runs through an open application process. Not beyond the order.",claude (machine pass 1),2026-08-31,1
INV-001,3162,b2a_timing,(b)(2)(A)(i) timing of the appointments,YES,TRUE,TRUE,FALSE,§ A.i,"Undersigned Plaintiffs agree that it would be beneficial to appoint Plaintiffs' leadership counsel as soon as practicable, so that the Parties can begin to effectively and efficiently litigate.","The report breaks section A into roman sub-items i to vii that track Rule 16.1(b)(2)(A)(i) to (vii) one for one, twice over, once for Plaintiffs and once for Defendants. Timing is answered as 'as soon as practicable' rather than with a date.",claude (machine pass 1),2026-08-31,1
INV-001,3162,b2a_structure,(b)(2)(A)(ii) structure of leadership counsel,YES,TRUE,TRUE,FALSE,§ A.ii,"propose that the Court appoint Lead Counsel (with caveats described below by Baker and Whalen Plaintiffs) and an Executive Committee (together ""Plaintiffs' Leadership Counsel"")","A two-tier structure, argued from Manual for Complex Litigation (Fourth) § 10.221 on tiered leadership models. The Baker and Whalen plaintiff groups enter caveats, which is the divergent-views mechanism 16.1(b)(1) contemplates working inside a single report.",claude (machine pass 1),2026-08-31,1
INV-001,3162,b2a_selection_procedure,(b)(2)(A)(iii) procedure for selecting leadership,YES,TRUE,TRUE,FALSE,§ A.iii,"The undersigned Plaintiffs' counsel propose an open application process, whereby any attorney who has filed a case in this MDL, or who is attorney of record in a case that has been removed or transferred to this MDL, may apply for a leadership position by written application (not to exceed five pages), submitted for in camera review, with appointments made by the Court upon consideration of the applications along with any ex parte in-person interviews and/or virtual oral interviews or presentations regarding qualifications for the positions sought","A complete procedure: who may apply, in what form, at what length, reviewed how, decided by whom. Defendants take no position on it. This is the fullest answer to (b)(2)(A)(iii) in the report layer so far and it stands in direct contrast to INV-002, where the same subject is answered by the first-filed firm proposing that it narrow the field itself.",claude (machine pass 1),2026-08-31,1
INV-001,3162,b2a_periodic_review,(b)(2)(A)(iii) whether appointments should be reviewed periodically,YES,TRUE,TRUE,FALSE,§ A.iii,The undersigned Plaintiffs' counsel supports an annual review by the Court of all leadership appointments.,"ANSWERED, and it is the sentence the order layer's strongest published result is about. The Rule combines selection and periodic review in one clause, (b)(2)(A)(iii), and the codebook splits them because they are different questions. The report keeps them in one sub-item and answers both: an open application process, and an annual review of everything appointed under it. Compare INV-002, where the same subject is not reached at all.",claude (machine pass 1),2026-08-31,1
INV-001,3162,b2a_responsibilities,(b)(2)(A)(iv) responsibilities and authority,YES,TRUE,TRUE,FALSE,§ A.iv,The undersigned Plaintiffs' counsel proposes the following responsibilities and authorities of Lead Counsel and Executive Committee.,"Answered at length, as a bulleted enumeration of Lead Counsel duties: serving as spokesperson, making and opposing motions, entering stipulations, convening the Executive Committee. Defendants fold their answer to iv, v and vi into a single combined sub-item, which is itself a small departure from the Rule's structure and is recorded rather than treated as an omission.",claude (machine pass 1),2026-08-31,1
INV-001,3162,b2a_communication,(b)(2)(A)(v) communicating with and reporting to the court and nonleadership counsel,YES,TRUE,TRUE,FALSE,§ A.v,"Plaintiffs' Lead Counsel shall be responsible for disseminating information from the Court to other Plaintiffs' counsel and pro se Plaintiffs, as appropriate. The Parties defer to the Court on the decision to provide for online access to court hearings as a method for non-leadership counsel to monitor the proceedings.","Answered, and answered by deferring the second half. The online-access question comes straight out of the (b)(1) Committee Note, which INV-002 also reached for on the same sub-item, there proposing a website. Two reports, two different mechanisms, both traceable to the same paragraph of the Note.",claude (machine pass 1),2026-08-31,1
INV-001,3162,b2a_nonleadership_limits,(b)(2)(A)(vi) limits on activity by nonleadership counsel,YES,TRUE,TRUE,FALSE,§ A.vi,"The undersigned Plaintiffs' counsel proposes that, except as the Court may hereafter order, no general discovery of Defendants or other common action or work in this litigation will be taken, except at the direction, or with express permission, of Plaintiffs' Lead Counsel.","A limit stated as a prohibition with a permission valve, which is a stronger form than INV-002's channelling recommendation. Both reports answer this sub-item; neither court had to prompt twice.",claude (machine pass 1),2026-08-31,1
INV-001,3162,b2a_compensation,(b)(2)(A)(vii) whether and when to establish a means for compensating leadership counsel,YES,TRUE,TRUE,FALSE,§ A.vii,The undersigned Plaintiffs' counsel believes that the leadership appointed by the Court should propose and submit a Common Benefit process after their appointment.,"The deferral answer again, and in one sentence. Both located reports answer (b)(2)(A)(vii) the same way: not now, later, by the leadership once appointed. That is the position the Committee Note contemplates and it is now two for two in the report layer, against four of thirteen courts that front-load the question in their orders.",claude (machine pass 1),2026-08-31,1
INV-001,3162,b2b_vacate_modify,(b)(2)(B) previously entered orders that should be vacated or modified,YES,TRUE,TRUE,FALSE,§ B,The Parties agree that there are no other previously entered scheduling or other orders that need to be vacated or modified.,"Answered in the negative, after reciting what paragraphs 11 and 12 of IPO No. 1 already did: stayed the response deadlines, stayed discovery, and tolled the Rule 26 to 37 clock. The order layer codes this subject as court_resolution TRUE for MDL 3162 on those same paragraphs, so the report is confirming a resolution rather than proposing one.",claude (machine pass 1),2026-08-31,1
